CompanyID	Userid_login	LdapCompanyTypeAttribute
2008	gschmidba1	WTYD,RESD,CSLD
2008	jbersani1	WTYD,RESD,CSLD
2008	jchilds1	WTYD,RESD,CSLD
2008	jcoaten2	WTYD,RESD,CSLD
2008	jmartir2	WTYD,RESD,CSLD
2008	lcazares	WTYD,RESD,CSLD
2008	lmiller31	WTYD,RESD,CSLD
2008	mscherer5	WTYD,RESD,CSLD
2008	mtucker12	WTYD,RESD,CSLD
2008	rcole10	WTYD,RESD,CSLD
2009	bsmith102	WTYD,RESD,CSLD
2009	jbuehler1	WTYD,RESD,CSLD
2009	tcrouch2	WTYD,RESD,CSLD
2016	clusk	WTYD,RESD,CSLD
2016	nstringfel	WTYD,RESD,CSLD
2016	ohenderson	WTYD,RESD,CSLD
2018	acrawford7	WTYD,RESD,CSLD
2018	bmiller54	WTYD,RESD,CSLD
2019	dsmith164	WTYD,RESD,CSLD
2019	khugo1	WTYD,RESD,CSLD
2019	mhumphrey4	WTYD,RESD,CSLD
2019	pknust	WTYD,RESD,CSLD
2019	rcartwrigh	WTYD,RESD,CSLD
2019	rgrieser1	WTYD,RESD,CSLD
2019	wmoore	WTYD,RESD,CSLD
2023	dhartz	WTYD,RESD,CSLD
2023	jdyer10	WTYD,RESD,CSLD
2023	msteffen	WTYD,RESD,CSLD
2023	whatch	WTYD,RESD,CSLD
2024	mbradley1	WTYD,RESD,CSLD
2025	josborn5	WTYD,RESD,CSLD
2038	jshivers1	WTYD,RESD,CSLD
2044	jneese	WTYD,RESD,CSLD
2049	kbroach1	WTYD,RESD,CSLD
2049	lgulledge	WTYD,RESD,CSLD
2049	woates	WTYD,RESD,CSLD
2052	smoore27	WTYD,RESD,CSLD
2052	SMOORE49	WTYD,RESD,CSLD
2054	ajackson9	WTYD,RESD,CSLD
2056	DSAMPLES1	WTYD,RESD,CSLD
2056	jmanley	WTYD,RESD,CSLD
2056	jmoore26	WTYD,RESD,CSLD
2056	mreyes7	WTYD,RESD,CSLD
2060	areda2	WTYD,RESD,CSLD
2060	bbarbakos1	WTYD,RESD,CSLD
2060	jcasper	WTYD,RESD,CSLD
2060	jpalmer7	WTYD,RESD,CSLD
2060	kdoom2	WTYD,RESD,CSLD
2062	areda	WTYD,RESD,CSLD
2062	badams18	WTYD,RESD,CSLD
2062	bbarbakos	WTYD,RESD,CSLD
2062	bfrazier	WTYD,RESD,CSLD
2062	jkallas	WTYD,RESD,CSLD
